year,country,wiki,lower_bound,upper_bound,mean
2018,Albania,alswiki,1,10,5.5
2018,Albania,bgwiki,1,10,5.5
2018,Albania,bswiki,1,10,5.5
2018,Albania,dewiki,1,15,8.0
2018,Albania,elwiki,1,10,5.5
2018,Albania,enwiki,76,94,85.0
2018,Albania,eswiki,1,10,5.5
2018,Albania,fawiki,1,12,6.5
2018,Albania,frwiki,1,10,5.5
2018,Albania,gvwiki,1,10,5.5
2018,Albania,hewiki,1,10,5.5
2018,Albania,huwiki,1,13,7.0
2018,Albania,itwiki,1,10,5.5
2018,Albania,jawiki,1,10,5.5
2018,Albania,mswiki,1,10,5.5
2018,Albania,plwiki,1,10,5.5
2018,Albania,rmwiki,1,10,5.5
2018,Albania,rowiki,1,10,5.5
2018,Albania,ruwiki,1,10,5.5
2018,Albania,simplewiki,1,10,5.5
2018,Albania,sqwiki,44,62,53.0
2018,Albania,srwiki,1,10,5.5
2018,Albania,svwiki,1,10,5.5
2018,Albania,trwiki,1,10,5.5
2018,Algeria,arwiki,66,84,75.0
2018,Algeria,arzwiki,1,10,5.5
2018,Algeria,bswiki,1,10,5.5
2018,Algeria,dewiki,1,10,5.5
2018,Algeria,diqwiki,1,10,5.5
2018,Algeria,enwiki,29,47,38.0
2018,Algeria,eswiki,1,10,5.5
2018,Algeria,frrwiki,1,10,5.5
2018,Algeria,frwiki,136,154,145.0
2018,Algeria,hrwiki,1,10,5.5
2018,Algeria,itwiki,1,10,5.5
2018,Algeria,kabwiki,3,15,9.0
2018,Algeria,lawiki,1,10,5.5
2018,Algeria,mswiki,1,10,5.5
2018,Algeria,ptwiki,1,10,5.5
2018,Algeria,rowiki,1,10,5.5
2018,Algeria,sdwiki,1,10,5.5
2018,Algeria,simplewiki,1,10,5.5
2018,Algeria,sqwiki,1,10,5.5
2018,Algeria,trwiki,1,10,5.5
2018,Algeria,viwiki,1,10,5.5
2018,Algeria,zhwiki,1,10,5.5
2018,American Samoa,enwiki,1,10,5.5
2018,American Samoa,jawiki,1,10,5.5
2018,Andorra,cawiki,1,13,7.0
2018,Andorra,dewiki,1,10,5.5
2018,Andorra,enwiki,1,11,6.0
2018,Andorra,eswiki,1,10,5.5
2018,Andorra,frwiki,1,10,5.5
2018,Andorra,hewiki,1,10,5.5
2018,Andorra,itwiki,1,10,5.5
2018,Andorra,jawiki,1,10,5.5
2018,Andorra,ptwiki,1,10,5.5
2018,Angola,dewiki,1,10,5.5
2018,Angola,enwiki,1,18,9.5
2018,Angola,frwiki,1,10,5.5
2018,Angola,jawiki,1,10,5.5
2018,Angola,nlwiki,1,10,5.5
2018,Angola,ptwiki,3,15,9.0
2018,Angola,srwiki,1,10,5.5
2018,Angola,viwiki,1,10,5.5
2018,Angola,zhwiki,1,10,5.5
2018,Anguilla,enwiki,1,10,5.5
2018,Antarctica,enwiki,1,10,5.5
2018,Antigua and Barbuda,enwiki,1,10,5.5
2018,Antigua and Barbuda,eswiki,1,10,5.5
2018,Argentina,anwiki,1,10,5.5
2018,Argentina,astwiki,1,13,7.0
2018,Argentina,aywiki,1,10,5.5
2018,Argentina,bgwiki,1,10,5.5
2018,Argentina,cawiki,1,12,6.5
2018,Argentina,cebwiki,1,10,5.5
2018,Argentina,cswiki,1,10,5.5
2018,Argentina,dawiki,1,10,5.5
2018,Argentina,dewiki,1,16,8.5
2018,Argentina,elwiki,1,10,5.5
2018,Argentina,enwiki,190,208,199.0
2018,Argentina,eowiki,1,10,5.5
2018,Argentina,eswiki,1403,1421,1412.0
2018,Argentina,fiwiki,1,10,5.5
2018,Argentina,frwiki,1,10,5.5
2018,Argentina,glwiki,1,10,5.5
2018,Argentina,gnwiki,1,10,5.5
2018,Argentina,gomwiki,1,10,5.5
2018,Argentina,hewiki,1,10,5.5
2018,Argentina,idwiki,1,10,5.5
2018,Argentina,itwiki,6,15,10.5
2018,Argentina,jawiki,1,10,5.5
2018,Argentina,kowiki,1,10,5.5
2018,Argentina,ladwiki,1,10,5.5
2018,Argentina,lawiki,1,10,5.5
2018,Argentina,mwlwiki,1,10,5.5
2018,Argentina,nlwiki,1,10,5.5
2018,Argentina,ocwiki,1,10,5.5
2018,Argentina,plwiki,1,10,5.5
2018,Argentina,ptwiki,3,13,8.0
2018,Argentina,rowiki,1,10,5.5
2018,Argentina,ruwiki,1,10,5.5
2018,Argentina,simplewiki,1,10,5.5
2018,Argentina,srwiki,1,10,5.5
2018,Argentina,svwiki,1,10,5.5
2018,Argentina,tgwiki,1,10,5.5
2018,Argentina,viwiki,1,10,5.5
2018,Argentina,zh_yuewiki,1,10,5.5
2018,Argentina,zhwiki,1,10,5.5
2018,Argentina,zuwiki,1,10,5.5
2018,Armenia,bewiki,1,10,5.5
2018,Armenia,cawiki,1,10,5.5
2018,Armenia,cebwiki,1,10,5.5
2018,Armenia,cswiki,1,10,5.5
2018,Armenia,dewiki,1,10,5.5
2018,Armenia,enwiki,35,53,44.0
2018,Armenia,eswiki,1,10,5.5
2018,Armenia,frwiki,1,10,5.5
2018,Armenia,hewiki,1,10,5.5
2018,Armenia,hywiki,325,343,334.0
2018,Armenia,idwiki,1,10,5.5
2018,Armenia,itwiki,1,10,5.5
2018,Armenia,jawiki,1,10,5.5
2018,Armenia,kawiki,1,15,8.0
2018,Armenia,mkwiki,1,10,5.5
2018,Armenia,nlwiki,1,10,5.5
2018,Armenia,plwiki,1,10,5.5
2018,Armenia,ptwiki,1,10,5.5
2018,Armenia,ruwiki,21,38,29.5
2018,Armenia,scowiki,1,10,5.5
2018,Armenia,srwiki,1,10,5.5
2018,Armenia,svwiki,1,10,5.5
2018,Armenia,ukwiki,1,10,5.5
2018,Armenia,xalwiki,2,20,11.0
2018,Aruba,enwiki,1,10,5.5
2018,Aruba,nlwiki,1,10,5.5
2018,Australia,acewiki,1,10,5.5
2018,Australia,afwiki,1,10,5.5
2018,Australia,alswiki,1,10,5.5
2018,Australia,angwiki,1,10,5.5
2018,Australia,anwiki,1,10,5.5
2018,Australia,arwiki,1,10,5.5
2018,Australia,astwiki,1,10,5.5
2018,Australia,azwiki,1,10,5.5
2018,Australia,bclwiki,1,10,5.5
2018,Australia,be_x_oldwiki,1,10,5.5
2018,Australia,bgwiki,1,10,5.5
2018,Australia,bnwiki,1,10,5.5
2018,Australia,bswiki,1,10,5.5
2018,Australia,bxrwiki,1,10,5.5
2018,Australia,cawiki,1,10,5.5
2018,Australia,cdowiki,1,10,5.5
